M_star,M_gas,gamma,R_c,T_m1,T_a1,q,incl,f_freeze,f_dissoc,f_1-0_12co,f_2-1_12co,f_3-2_12co,f_1-0_13co,f_2-1_13co,f_3-2_13co,f_1-0_c18o,f_2-1_c18o,f_3-2_c18o,f_1-0_c18o_low,f_2-1_c18o_low,f_3-2_c18o_low
0.5,1.00E-03,0,100,100,1500,0.45,45,0.115,0.184,3.133,23.365,65.785,0.131,1.411,5.128,0.019,0.236,0.881,0.007,0.083,0.312
0.5,1.00E-03,0,100,100,1500,0.45,90,0.115,0.184,2.85,20.67,55.62,0.118,1.259,4.729,0.019,0.224,0.842,0.006,0.081,0.305
0.5,1.00E-03,0,200,100,500,0.45,0,0.528,0.498,0.752,3.582,8.202,0.074,0.644,1.696,0.01,0.111,0.322,0.004,0.039,0.113
0.5,1.00E-03,0,200,100,500,0.45,45,0.528,0.498,0.83,3.783,8.384,0.077,0.678,1.803,0.011,0.118,0.34,0.004,0.041,0.12
0.5,1.00E-03,0,200,100,500,0.45,90,0.528,0.498,0.274,1.082,2.275,0.065,0.475,1.183,0.011,0.111,0.313,0.004,0.04,0.117
0.5,1.00E-03,0,200,100,750,0.45,0,0.377,0.472,1.516,8.955,22.763,0.1,0.99,2.942,0.014,0.158,0.508,0.005,0.054,0.176
0.5,1.00E-03,0,200,100,750,0.45,45,0.377,0.472,1.605,8.741,21.545,0.104,1.032,3.098,0.015,0.165,0.528,0.005,0.057,0.183
0.5,1.00E-03,0,200,100,750,0.45,90,0.377,0.472,0.739,3.246,7.255,0.093,0.822,2.396,0.014,0.157,0.5,0.005,0.056,0.18
0.5,1.00E-03,0,200,100,1000,0.45,0,0.284,0.486,2.153,14.517,39.488,0.104,1.12,3.63,0.014,0.168,0.581,0.005,0.057,0.199
0.5,1.00E-03,0,200,100,1000,0.45,45,0.284,0.486,2.276,14.192,37.501,0.108,1.159,3.792,0.015,0.175,0.6,0.005,0.059,0.206
0.5,1.00E-03,0,200,100,1000,0.45,90,0.284,0.486,1.393,7.084,16.609,0.1,0.999,3.237,0.015,0.17,0.581,0.005,0.059,0.204
0.5,1.00E-03,0,200,100,1500,0.45,0,0.174,0.495,2.821,23.069,70.312,0.094,1.108,3.983,0.012,0.156,0.583,0.004,0.053,0.198
0.5,1.00E-03,0,200,100,1500,0.45,45,0.174,0.495,3.038,23.681,70.395,0.097,1.139,4.112,0.013,0.161,0.598,0.004,0.054,0.203
0.5,1.00E-03,0,200,100,1500,0.45,90,0.174,0.495,2.453,18.136,49.35,0.091,1.037,3.779,0.013,0.157,0.585,0.004,0.054,0.201
0.5,3.00E-03,0,30,100,500,0.45,0,0.039,0.011,0.576,2.649,6.193,0.144,0.945,2.566,0.05,0.363,1.071,0.028,0.2,0.588
0.5,3.00E-03,0,30,100,500,0.45,45,0.039,0.011,0.614,2.75,6.354,0.167,1.08,2.893,0.058,0.425,1.251,0.03,0.233,0.693
0.5,3.00E-03,0,30,100,500,0.45,90,0.039,0.011,0.392,1.615,3.587,0.137,0.844,2.186,0.05,0.364,1.063,0.027,0.206,0.616
0.5,3.00E-03,0,30,100,750,0.45,0,0.029,0.009,0.977,4.739,11.415,0.171,1.306,3.918,0.051,0.412,1.338,0.027,0.211,0.67
0.5,3.00E-03,0,30,100,750,0.45,45,0.029,0.009,1.066,5.089,12.161,0.192,1.479,4.414,0.056,0.469,1.524,0.028,0.237,0.765
0.5,3.00E-03,0,30,100,750,0.45,90,0.029,0.009,0.795,3.514,8.058,0.167,1.254,3.656,0.05,0.418,1.366,0.025,0.214,0.703
0.5,3.00E-03,0,30,100,1000,0.45,0,0.024,0.01,1.365,6.926,17.033,0.179,1.51,4.866,0.049,0.421,1.44,0.025,0.207,0.684
0.5,3.00E-03,0,30,100,1000,0.45,45,0.024,0.01,1.525,7.705,18.861,0.198,1.696,5.488,0.053,0.468,1.611,0.025,0.226,0.762
0.5,3.00E-03,0,30,100,1000,0.45,90,0.024,0.01,1.256,6.066,14.373,0.176,1.507,4.816,0.047,0.425,1.483,0.023,0.206,0.711
0.5,3.00E-03,0,30,100,1500,0.45,0,0.018,0.01,2.038,11.317,28.905,0.174,1.648,5.829,0.044,0.396,1.435,0.021,0.187,0.645
0.5,3.00E-03,0,30,100,1500,0.45,45,0.018,0.01,2.348,13.279,34.175,0.187,1.816,6.536,0.045,0.428,1.562,0.021,0.196,0.694
0.5,3.00E-03,0,30,100,1500,0.45,90,0.018,0.01,2.165,12.529,32.354,0.168,1.682,6.107,0.04,0.391,1.468,0.019,0.179,0.653
0.5,3.00E-03,0,60,100,500,0.45,0,0.237,0.037,1.131,5.209,12.099,0.239,1.634,4.472,0.073,0.561,1.621,0.033,0.285,0.835
0.5,3.00E-03,0,60,100,500,0.45,45,0.237,0.037,1.205,5.373,12.281,0.278,1.888,5.089,0.079,0.644,1.895,0.034,0.312,0.94
0.5,3.00E-03,0,60,100,500,0.45,90,0.237,0.037,0.695,2.837,6.236,0.221,1.435,3.742,0.068,0.541,1.602,0.031,0.275,0.836
0.5,3.00E-03,0,60,100,750,0.45,0,0.147,0.034,1.937,9.539,22.921,0.278,2.208,6.716,0.073,0.632,2.009,0.03,0.297,0.952
0.5,3.00E-03,0,60,100,750,0.45,45,0.147,0.034,2.097,10.018,23.776,0.316,2.521,7.644,0.077,0.705,2.288,0.032,0.316,1.041
0.5,3.00E-03,0,60,100,750,0.45,90,0.147,0.034,1.515,6.638,15.127,0.266,2.135,6.415,0.068,0.619,2.048,0.029,0.287,0.958
0.5,3.00E-03,0,60,100,1000,0.45,0,0.099,0.032,2.705,14.114,34.8,0.285,2.484,8.15,0.068,0.633,2.132,0.027,0.284,0.96
0.5,3.00E-03,0,60,100,1000,0.45,45,0.099,0.032,3.015,15.473,37.822,0.316,2.804,9.26,0.071,0.69,2.376,0.028,0.297,1.027
0.5,3.00E-03,0,60,100,1000,0.45,90,0.099,0.032,2.508,12.097,28.476,0.274,2.495,8.303,0.063,0.618,2.184,0.026,0.272,0.96
0.5,3.00E-03,0,60,100,1500,0.45,0,0.056,0.034,3.948,23.088,59.424,0.268,2.594,9.331,0.057,0.58,2.082,0.022,0.244,0.88
0.5,3.00E-03,0,60,100,1500,0.45,45,0.056,0.034,4.589,27.638,72.368,0.288,2.867,10.484,0.058,0.612,2.246,0.022,0.251,0.916
0.5,3.00E-03,0,60,100,1500,0.45,90,0.056,0.034,4.469,27.769,73.037,0.253,2.648,9.975,0.052,0.554,2.102,0.021,0.231,0.864
